,Ts,P1,P2,P3,P4,P5,Ts_last,P_tot
60,66.2118489667862,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.4178496722433,221049.0327234535
61,66.2030718214659,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.4165914901375,222788.89851366394
62,66.22814627886,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.4150741290209,246181.4341647046
63,66.2239215797579,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.408045001889,293083.58247427235
64,66.2042017981953,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.3682702073021,361562.67123464384
65,66.2070520263866,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,84.2215392953312,458452.149482519
66,66.2058009780893,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,83.8263812770772,551554.2361747702
67,66.1953442900168,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,82.9983122418217,616346.4087169637
68,66.1957279827216,-215895.0638,-249130.1972,-211560.0464,-254910.2204,-213005.0522,81.6143432531806,661762.3528991047
69,66.2145709164556,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,79.7127945747766,707117.0490798379
70,66.1626509056072,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,77.495243241736,746267.796557857
71,66.2248132402444,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,75.2644488032648,791595.828206815
72,66.2061369090319,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,73.2671872724721,826325.9913229091
73,66.2336550481617,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,71.6303024596825,861138.4441912684
74,66.2187665346351,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,70.3699188151868,889934.434915862
75,66.2670469763538,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,69.4402265393825,922189.8619729833
76,66.2155265933773,-219503.5049,-260283.5606,-214184.3672,-267375.7442,-215957.4131,68.7743531170732,945555.3027871684
